cp,lat,lon,display
53569,19.4619469,-99.2226208,"53569, Naucalpan de Juárez, Estado de México, México"
53580,19.4736475,-99.2382939,"53580, Naucalpan de Juárez, Estado de México, México"
53660,19.452266,-99.2707871,"53660, Naucalpan de Juárez, Estado de México, México"
53718,19.4387001,-99.2635296,"53718, Naucalpan de Juárez, Estado de México, México"
53760,19.4454275,-99.2593364,"53760, Naucalpan de Juárez, Estado de México, México"
53830,19.431377,-99.2513691,"53830, Naucalpan de Juárez, Estado de México, México"
53840,19.4286781,-99.2510193,"53840, Naucalpan de Juárez, Estado de México, México"
53900,19.4347481,-99.2379837,"53900, Naucalpan de Juárez, Estado de México, México"
54020,19.5521138,-99.2120061,"54020, Tlalnepantla de Baz, Estado de México, México"
54030,19.5511102,-99.1945355,"54030, Tlalnepantla de Baz, Estado de México, México"
54040,19.5414276,-99.2120736,"54040, Tlalnepantla de Baz, Estado de México, México"
54055,19.5234341,-99.2277798,"54055, Tlalnepantla de Baz, Estado de México, México"
54060,19.5289927,-99.2093467,"54060, Tlalnepantla de Baz, Estado de México, México"
54070,19.523319,-99.2035747,"54070, Tlalnepantla de Baz, Estado de México, México"
54073,19.3876,-99.614,Los Reyes Industrial
54080,19.5126463,-99.2264612,"54080, Naucalpan de Juárez, Estado de México, México"
54090,19.5180437,-99.2000567,"54090, Tlalnepantla de Baz, Estado de México, México"
54120,19.5508895,-99.1799032,"54120, Tlalnepantla de Baz, Estado de México, México"
54126,19.5457615,-99.1761026,"54126, Tlalnepantla de Baz, Estado de México, México"
54140,19.5456163,-99.1655458,"54140, Tlalnepantla de Baz, Estado de México, México"
54373,,,
54413,19.6198795,-99.3035124,"54413, Nicolás Romero, Estado de México, México"
54430,19.6190422,-99.4203972,"54430, Nicolás Romero, Estado de México, México"
54434,19.614573,-99.3163509,"54434, Nicolás Romero, Estado de México, México"
54460,19.6287363,-99.3422073,"54460, Nicolás Romero, Estado de México, México"
54469,19.6019574,-99.3045464,"54469, Nicolás Romero, Estado de México, México"
54570,19.5217401,-99.3739565,"54570, Jilotzingo, Estado de México, México"
54607,19.3356,-99.648,Tierritas Blancas
54700,19.6500116,-99.2086769,"54700, Cuautitlán Izcalli, Estado de México, México"
54713,19.773025,-99.2541045,"54713, Tepotzotlán, Estado de México, México"
54730,19.5380046,-99.3388458,"54730, Jilotzingo, Estado de México, México"
54750,19.6472464,-99.2001973,"54750, Cuautitlán Izcalli, Estado de México, México"
54769,19.5982754,-99.1929909,"54769, Cuautitlán Izcalli, Estado de México, México"
54783,19.7516714,-99.1620695,"54783, Teoloyucan, Estado de México, México"
54784,19.5542,-99.4153,Santiago
54800,19.687619,-99.1855555,"54800, Cuautitlán Izcalli, Estado de México, México"
54918,19.688,-99.4428,Cartagena
54945,19.6651,-99.4919,Izcalli Del Valle
55064,19.6144369,-98.9871459,"55064, Ecatepec de Morelos, Estado de México, México"
55070,19.5841926,-99.0199307,"55070, Ecatepec de Morelos, Estado de México, México"
55400,19.571792,-99.0496241,"55400, Ecatepec de Morelos, Estado de México, México"
55660,19.9767907,-99.1786766,"55660, Apaxco, Estado de México, México"
55712,19.6416946,-99.1133098,"55712, Coacalco de Berriozábal, Estado de México, México"
55726,19.5463,-99.2494,Granjas San Cristobal
56338,19.3924958,-98.9206566,"56338, Chimalhuacán, Estado de México, México"
56643,19.2990043,-98.8675078,"56643, Chalco, Estado de México, México"
57700,19.4392282,-99.0354916,"57700, Nezahualcóyotl, Estado de México, México"
62170,18.9501564,-99.2444558,"62170, Cuernavaca, Morelos, México"
62300,18.95,-99.2167,Ahuatepec
62350,18.9256735,-99.2176165,"62350, Cuernavaca, Morelos, México"
62578,18.9152732,-99.1668282,"62578, Jiutepec, Morelos, México"
64460,25.6963823,-100.3444143,"64460, Monterrey, Nuevo León, México"
64630,25.684357,-100.3608704,"64630, Monterrey, Nuevo León, México"
64790,25.6231247,-100.2850927,"64790, Monterrey, Nuevo León, México"
66600,25.7793494,-100.1684242,"66600, Apodaca, Nuevo León, México"
66620,25.7954355,-100.1144646,"66620, Apodaca, Nuevo León, México"
72070,19.0658894,-98.2127087,"72070, Municipio de Puebla, Puebla, México"
72170,18.0667,-98.175,La Providencia
74080,19.0787,-98.0176,Los Angeles
76120,20.63593,-100.4324332,"76120, Delegación Félix Osores, Santiago de Querétaro, Municipio de Querétaro, Querétaro, México"
76125,20.6319964,-100.4112095,"76125, Delegación Epigmenio González, Santiago de Querétaro, Municipio de Querétaro, Querétaro, México"
76256,20.7833,-100.3667,Tierra Blanca
77533,21.1395478,-86.8477167,"77533, Cancún, Benito Juárez, Distrito 5, Quintana Roo, México"
83299,29.033969,-110.9282726,"83299, Hermosillo, Sonora, México"
84230,28.9646,-110.5396,Obrera
94160,19.0123428,-97.0316254,"94160, Chocamán, Veracruz, México"
97288,20.9181133,-89.7010228,"97288, Umán, Yucatán, México"
